volume,log_return,logr_SMA_20,logr_EMA_20,logr_BBL_20_2.0_2.0,logr_BBM_20_2.0_2.0,logr_BBU_20_2.0_2.0,logr_BBB_20_2.0_2.0,logr_BBP_20_2.0_2.0,LogR_Vol_5,logr_SMA_5,LogR_vs_MA_5,ATRr_14,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,STOCHk_14_3_3,STOCHd_14_3_3,STOCHh_14_3_3,daily_change_pct,interday_change,daily_range_pct,down,neutral,up
30777800,0.00017467983187404302,-0.0006046529494816794,-0.00066407167522215,-0.02781895621310725,-0.0006046529494816794,0.026609650314143894,-9001.627557412634,0.5143184408177991,0.013320552210881144,0.0015742727577303512,-0.0013995929258563081,8.5122493935824,48.257288763226725,0.8472102878414489,-1.5707280002806057,2.4179382881220546,39.99931219684446,39.90692227267669,0.09238992416776881,0.0001746950892841747,0.00036887946552423577,0.01232574117404904,0,1,0
40532500,-0.015805298633426643,-0.001224252715019823,-0.0021060932902892448,-0.029259681315998494,-0.001224252715019823,0.026811175885958848,-4580.006767724378,0.23995321908690528,0.015499769801000953,-0.001195186406325911,-0.014610112227100732,8.711891648625425,42.88677946212671,-0.11934449161253724,-2.0298262237876736,1.9104817321751362,24.71900533887506,35.79110750054826,-11.072102161673197,-0.015681050355951902,-0.00838744125434957,0.014865941133762212,1,0,0
31694200,-0.0032189736495354198,-0.0022724090320094623,-0.0022120818959317375,-0.02885152962529297,-0.0022724090320094623,0.02430671156127405,-2339.290173457895,0.48219345493008614,0.012100253863466442,-0.005085511050738909,0.001866537401203489,8.622599285014365,41.87435032685345,-1.004796258485726,-2.33222239252869,1.3274261340429638,20.697968688455394,28.472095408058305,-7.774126719602911,-0.003213798308442014,0.008699092668340807,0.012460767676026234,0,1,0
33737200,-0.0009499274416942906,-0.001996166473239117,-0.002091876709813885,-0.028506139544300743,-0.001996166473239117,0.024513806597822506,-2656.088400086664,0.5197329327483721,0.008652352385527067,-0.007560970959480497,0.006611043517786207,8.61653853233311,41.56317711893807,-1.7252234477571164,-2.4421196654400643,0.7168962176829478,15.868761159657241,20.428578395662566,-4.559817236005324,-0.0009494764034512468,-0.007194251940806283,0.016951513685173544,0,1,0
34957600,0.02274560828875682,-0.0012401443228407295,0.00027359805195475355,-0.029696399566725686,-0.0012401443228407295,0.02721611092104423,-4589.184455354648,0.9214495618982036,0.013934928601310886,0.0005892176791949022,0.02215639060956192,8.909778505014298,51.04670758912871,-1.3465374286176939,-1.6507469170405134,0.3042094884228195,29.84557645220871,22.137435433440448,7.708141018768263,0.023006262128776867,0.007153544043388807,0.012651429507134208,0,0,1
28229000,-0.0070305579658351625,-0.002306578313440079,-0.00042203585450142895,-0.029896424814956087,-0.002306578313440079,0.025283268188075927,-2392.274854987944,0.4143891639242083,0.014354746509464679,-0.0008518298803469394,-0.006178728085488223,8.708150531493075,48.4109354917028,-1.322184852559019,-1.3011154727854708,-0.021069379773548225,37.79318318265042,27.835840264838787,9.95734291781163,-0.007005901410132412,-0.011368383369195252,0.011825015971163252,1,0,0
51837900,0.016737439436687398,-0.0012490159498553188,0.0012121998875165543,-0.03009183381038657,-0.0012490159498553188,0.02759380191067593,-4618.486715701635,0.81180128573976,0.013211786371851613,0.0056567177336758695,0.01108072170301153,8.86818019351387,54.46788372955712,-0.5998183590188546,-0.46299918339624513,-0.1368191756226095,58.140821575274515,41.92652707004454,16.214294505229972,0.01687829513337913,-0.0021229519047382445,0.021361231009285817,0,0,1
23628000,0.005847937359222506,0.0008805648783696596,0.0016536986943456926,-0.022745277403342184,0.0008805648783696596,0.0245064071600815,5366.065093455557,0.6051258283540215,0.012278254038225585,0.007470099935427455,-0.0016221625762049491,8.655290706734613,56.41517018335557,0.21616084821130244,0.28238401906712957,-0.06622317085582713,69.82228302164908,55.25209592652467,14.570187095124417,0.005865069925344154,0.0006101421143525503,0.011327430808984667,0,0,1
33593000,0.012704794905832295,0.0017389648230901585,0.002706184047820607,-0.02231306891282063,0.0017389648230901585,0.025790998559000945,2766.247300295595,0.7279605584115254,0.011426252347477104,0.010201044404932772,0.0025037505008995223,8.678916788501958,60.41317476058246,1.3862541083210544,1.1619818233415053,0.22427228497954918,86.75810057999848,71.57373505897402,15.18436552102446,0.012785843684967869,0.0036633540694808757,0.008689019754525807,0,0,1
23096600,0.002123734908637961,0.0014104195775062622,0.0026507127012317835,-0.022420053378651942,0.0014104195775062622,0.025240892533664464,3379.2033712822445,0.5149664535077423,0.009287915322549056,0.006076669728909,-0.0039529348202710386,8.36569230540574,61.06095499767579,2.376998090968982,1.7221806447915462,0.6548174461774359,92.90512978150954,83.1618377943857,9.74329198712384,0.002125991630896316,0.006804847971068859,0.008108967517551814,0,1,0
